UID          PID    PPID  C STIME TTY          TIME CMD
venserv+    3748    3466  0 May27 ?        00:30:31 puma 6.6.1 (tcp://0.0.0.0:9292) [truemail-rack]
root        3753    3334 15 May27 ?        2-09:47:24 /opt/postal/app/bin/rake postal:smtp_server
systemd+    3768    3517  0 May27 ?        00:00:00 /bin/bash /opt/postal/app/bin/postal cron
systemd+    3777    3435  0 May27 ?        00:00:00 /bin/bash /opt/postal/app/bin/postal web-server
root        3793    3419 10 May27 ?        1-18:01:08 /opt/postal/app/bin/rake postal:smtp_server
root        3803       1  0 May27 ?        01:20:39 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 1cd59f0e37f88094889f576f69152acb629279c27d80729e9e119779582a5751 -address /run/containerd/containerd.sock
systemd+    3814    3430  2 May27 ?        08:38:36 redis-server *:6379
1337        3824    3604  4 May27 ?        17:54:50 php artisan octane:start --host=0.0.0.0 --port=9080 --workers=4 --task-workers=2 --max-requests=1000
root        3825    3618  0 May27 ?        00:00:00 bash ./entrypoint.sh
root        3885       1  0 May27 ?        00:49:32 /usr/bin/containerd-shim-runc-v2 -namespace moby -id d5f11d588934cb2a458edfda1f03616afed3f57f517d126b0a0c314015f20920 -address /run/containerd/containerd.sock
root        3925       1  0 May27 ?        00:28:08 /usr/bin/containerd-shim-runc-v2 -namespace moby -id f4b137b4a2852fb4c243437c37442e187392bda17a14770c197d2800c18dd6e8 -address /run/containerd/containerd.sock
root        3935    1294  0 May27 ?        00:16:01 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 9083 -container-ip 172.18.0.9 -container-port 9080
1337        3941    3645  0 May27 ?        03:18:56 php artisan horizon
root        3943    3634  0 May27 ?        02:56:12 /usr/local/bin/python3.11 /usr/local/bin/celery -A app.workers.celery_app worker --loglevel=info --concurrency=4 -Q celery --max-tasks-per-child=100
1337        3946    3803  4 May27 ?        17:45:19 php artisan octane:start --host=0.0.0.0 --port=9080 --workers=4 --task-workers=2 --max-requests=1000
root        3973       1  0 May27 ?        02:52:29 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 4fe610f03e06124f14ac78a8fca078a77e20b87a291bf340ebb8db785b5ca96b -address /run/containerd/containerd.sock
root        4030       1  0 May27 ?        00:28:23 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 6b3100dd5ea6c2a3fc6dc5e0b27e1f7e4f81440ec8d14169f86b30cc00064841 -address /run/containerd/containerd.sock
systemd+    4034    3768  0 May27 ?        00:42:38 /opt/postal/app/bin/rake postal:cron
1337        4062    3885  0 May27 ?        02:28:34 php artisan schedule:work --verbose
root        4066       1  0 May27 ?        01:16:25 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 4958da45cbd438940d1c3c0a2bae47cc53fdb355b791fc82e70243472929b879 -address /run/containerd/containerd.sock
venserv+    4085    3925  0 May27 ?        03:02:50 /app/.venv/bin/python -m uvicorn api.src.main:app --host 0.0.0.0 --port 8880 --log-level info
systemd+    4100    3777  0 May27 ?        00:15:54 [postal] 
70          4155    3973  0 May27 ?        00:23:35 postgres
root        4163    4030  1 May27 ?        05:25:48 /usr/local/bin/python3.11 /usr/local/bin/uvicorn app.main:app --host 0.0.0.0 --port 8001 --workers 4 --timeout-keep-alive 120
1337        4206    4066  4 May27 ?        17:55:58 php artisan octane:start --host=0.0.0.0 --port=9080 --workers=4 --task-workers=2 --max-requests=1000
root        4340       1  0 May27 ?        00:25:19 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 36203ef64191ed354c0736a9f30a937431da13a882728d46d6efedf09a00a130 -address /run/containerd/containerd.sock
systemd+    4407    4340  2 May27 ?        07:58:19 /opt/erlang/lib/erlang/erts-14.2.5.12/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /opt/erlang/lib/erlang -bindir /opt/erlang/lib/erlang/erts-14.2.5.12/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false
